Authority,key_type,bit_count
ACCVRAIZ1,RSA,4096
ACRAIZFNMT-RCM,RSA,4096
ACRAIZFNMT-RCMSERVIDORESSEGUROS,EC,384
ActalisAuthenticationRootCA,RSA,4096
AffirmTrustCommercial,RSA,2048
AffirmTrustNetworking,RSA,2048
AffirmTrustPremium,RSA,4096
AffirmTrustPremiumECC,EC,384
Amazon,RSA,2048
AmazonRootCA1,RSA,2048
AmazonRootCA2,RSA,4096
AmazonRootCA3,EC,256
AmazonRootCA4,EC,384
AMI,RSA,2048
ANFSecureServerRootCA,RSA,4096
AtosTrustedRoot2011,RSA,2048
AutoridaddeCertificacionFirmaprofesionalCIFA62634068,RSA,4096
BaltimoreCyberTrustRoot,RSA,2048
BuypassClass2RootCA,RSA,4096
BuypassClass3RootCA,RSA,4096
CADisigRootR2,RSA,4096
CamerfirmaChambersofCommerceRoot,RSA,2048
CamerfirmaGlobalChambersignRoot,RSA,2048
Certigna,RSA,2048
CertignaRootCA,RSA,4096
certSIGNROOTCA,RSA,2048
certSIGNRootCAG2,RSA,4096
CertumEC-384CA,EC,384
CertumRootCA,RSA,2048
CertumTrustedNetworkCA,RSA,2048
CertumTrustedNetworkCA2,RSA,4096
CertumTrustedRootCA,RSA,4096
CFCAEVROOT,RSA,4096
ChambersofCommerceRoot-2008,RSA,4096
ComodoAAAServicesroot,RSA,2048
COMODOCertificationAuthority,RSA,2048
COMODOECCCertificationAuthority,EC,384
COMODORSACertificationAuthority,RSA,4096
CybertrustGlobalRoot,RSA,2048
D-TRUSTRootCA32013,RSA,2048
D-TRUSTRootClass3CA22009,RSA,2048
D-TRUSTRootClass3CA2EV2009,RSA,2048
DigiCertAssuredIDRootCA,RSA,2048
DigiCertAssuredIDRootG2,RSA,2048
DigiCertAssuredIDRootG3,EC,384
DigiCertGlobalRootCA,RSA,2048
DigiCertGlobalRootG2,RSA,2048
DigiCertGlobalRootG3,EC,384
DigiCertHighAssuranceEVRootCA,RSA,2048
DigiCertSHA2ExtendedValidationServerCA,RSA,2048
DigiCertSHA2SecureServerCA,RSA,2048
DigiCertTrustedRootG4,RSA,4096
DSTRootCAX3,RSA,2048
e-SzignoRootCA2017,EC,256
E-TugraCertificationAuthority,RSA,4096
EC-ACC,RSA,2048
emSignECCRootCA-C3,EC,384
emSignECCRootCA-G3,EC,384
emSignRootCA-C1,RSA,2048
emSignRootCA-G1,RSA,2048
EntrustRootCertificationAuthority-EC1,EC,384
EntrustRootCertificationAuthority-G2,RSA,2048
EntrustRootCertificationAuthority-G4,RSA,4096
EntrustRootCertificationAuthority,RSA,2048
Entrust_netPremium2048SecureServerCA,RSA,2048
ePKIRootCertificationAuthority,RSA,4096
GDCATrustAUTHR5ROOT,RSA,4096
GlobalChambersignRoot-2008,RSA,4096
GlobalSignECCRootCA-R4,EC,256
GlobalSignECCRootCA-R5,EC,384
GlobalSignRootCA-R2,RSA,2048
GlobalSignRootCA-R3,RSA,2048
GlobalSignRootCA-R6,RSA,4096
GlobalSignRootCA,RSA,2048
GlobalSignRootE46,EC,384
GlobalSignRootR46,RSA,4096
GlobalSignSecureMailRootE45,EC,384
GlobalSignSecureMailRootR45,RSA,4096
GLOBALTRUST2020,RSA,4096
GoDaddyClass2CA,RSA,2048
GoDaddyRootCertificateAuthority-G2,RSA,2048
GTSCA1O1,RSA,2048
GTSRootR1,RSA,4096
GTSRootR2,RSA,4096
GTSRootR3,EC,384
GTSRootR4,EC,384
HARICAClientECCRootCA2021,EC,384
HARICAClientRSARootCA2021,RSA,4096
HARICATLSECCRootCA2021,EC,384
HARICATLSRSARootCA2021,RSA,4096
HellenicAcademicandResearchInstitutionsECCRootCA2015,EC,384
HellenicAcademicandResearchInstitutionsRootCA2011,RSA,2048
HellenicAcademicandResearchInstitutionsRootCA2015,RSA,4096
HongkongPostRootCA1,RSA,2048
HongkongPostRootCA3,RSA,4096
IdenTrustCommercialRootCA1,RSA,4096
IdenTrustPublicSectorRootCA1,RSA,4096
idrac-HNSKH42,RSA,2048
ISRGRootX1,RSA,4096
Izenpe_com,RSA,4096
Let'sEncryptAuthorityX3,RSA,2048
Microsece-SzignoRootCA2009,RSA,2048
MicrosoftECCRootCertificateAuthority2017,EC,384
MicrosoftRSARootCertificateAuthority2017,RSA,4096
NAVERGlobalRootCertificationAuthority,RSA,4096
NetLockArany(ClassGold)Fo?tanu?si?tva?ny,RSA,2048
NetworkSolutionsCertificateAuthority,RSA,2048
OISTEWISeKeyGlobalRootGACA,RSA,2048
OISTEWISeKeyGlobalRootGBCA,RSA,2048
OISTEWISeKeyGlobalRootGCCA,EC,384
QuoVadisRootCA1G3,RSA,4096
QuoVadisRootCA2,RSA,4096
QuoVadisRootCA2G3,RSA,4096
QuoVadisRootCA3,RSA,4096
QuoVadisRootCA3G3,RSA,4096
SecureGlobalCA,RSA,2048
SecureSignRootCA11,RSA,2048
SecureTrustCA,RSA,2048
SecurityCommunicationRootCA,RSA,2048
SecurityCommunicationRootCA2,RSA,2048
SSL_comEVRootCertificationAuthorityECC,EC,384
SSL_comEVRootCertificationAuthorityRSAR2,RSA,4096
SSL_comRootCertificationAuthorityECC,EC,384
SSL_comRootCertificationAuthorityRSA,RSA,4096
StaatderNederlandenEVRootCA,RSA,4096
StaatderNederlandenRootCA-G3,RSA,4096
StarfieldClass2CA,RSA,2048
StarfieldRootCertificateAuthority-G2,RSA,2048
StarfieldServicesRootCertificateAuthority-G2,RSA,2048
SwissSignGoldCA-G2,RSA,4096
SwissSignPlatinumCA-G2,RSA,4096
SwissSignSilverCA-G2,RSA,4096
SymantecClass1PublicPrimaryCertificationAuthority-G6,RSA,2048
SymantecClass2PublicPrimaryCertificationAuthority-G6,RSA,2048
SZAFIRROOTCA2,RSA,2048
T-TeleSecGlobalRootClass2,RSA,2048
T-TeleSecGlobalRootClass3,RSA,2048
TeliaSoneraRootCAv1,RSA,4096
TrustCorECA-1,RSA,2048
TrustCorRootCertCA-1,RSA,2048
TrustCorRootCertCA-2,RSA,4096
TrustwaveGlobalCertificationAuthority,RSA,4096
TrustwaveGlobalECCP256CertificationAuthority,EC,256
TrustwaveGlobalECCP384CertificationAuthority,EC,384
TUBITAKKamuSMSSLKokSertifikasi-Surum1,RSA,2048
TunTrustRootCA,RSA,4096
TWCAGlobalRootCA,RSA,4096
TWCARootCertificationAuthority,RSA,2048
UCAExtendedValidationRoot,RSA,4096
UCAGlobalG2Root,RSA,4096
USERTrustECCCertificationAuthority,EC,384
USERTrustRSACertificationAuthority,RSA,4096
VerisignClass1PublicPrimaryCertificationAuthority-G3,RSA,2048
VerisignClass2PublicPrimaryCertificationAuthority-G3,RSA,2048
XRampGlobalCARoot,RSA,2048
